Afghanistan,Islamic Republic of Afghanistan
Trinidad and Tobago,Republic of Trinidad and Tobago
Tunisia,Tunisian Republic
Turkey,Republic of Turkey
Turkmenistan,none
Tuvalu,none
Uganda,Republic of Uganda
Ukraine,none
United Arab Emirates,United Arab Emirates
United Kingdom,"United Kingdom of Great Britain and Northern Ireland; note - Great Britain includes England, Scotland, and Wales"
United States,United States of America
Uruguay,Oriental Republic of Uruguay

Uzbekistan,Republic of Uzbekistan
Vanuatu,Republic of Vanuatu
Venezuela,Bolivarian Republic of Venezuela
Vietnam,Socialist Republic of Vietnam
"Vietnam, N.",
"Vietname, S.",
Yemen,Republic of Yemen
"Yemen, N.",
"Yemen, S.",
Yugoslavia,
Zambia,Republic of Zambia
Zimbabwe,Republic of Zimbabwe
